,id,address,base_addr,dist
25948,7568056,"улица Сельскохозяйственная, д. 7/1","Сельскохозяйственная улица, дом 7/1",0.3333333333333333
32250,7722020,"улица Юных Ленинцев, д. 64","улица Юных Ленинцев, дом 64",0.3333333333333333
32210,8120520,"улица Юных Ленинцев, д. 36","улица Юных Ленинцев, дом 36",0.3333333333333333
19297,8954902,"улица Новогиреевская, д. 49/28","Новогиреевская улица, дом 49/28",0.3333333333333333
9840,7559213,"улица Ейская, д. 11/31","Ейская улица, дом 11/31",0.3333333333333333
32303,7720638,"улица Юных Ленинцев, д. 102","улица Юных Ленинцев, дом 102",0.3333333333333333
13830,7946651,"улица Красных Зорь, д. 31","улица Красных Зорь, дом 31",0.3333333333333333
12964,8041079,"улица Константина Федина, д. 7","улица Константина Федина, дом 7",0.3333333333333333
20595,7574889,"проезд. Орехово-Зуевский, д. 2","Орехово-Зуевский проезд, дом 2",0.3333333333333333
32157,7628143,"улица Южнопортовая, д. 14/32","Южнопортовая улица, дом 14/32",0.3333333333333333
3374,8631925,"улица Антонова-Овсеенко, д. 7","улица Антонова-Овсеенко, дом 7",0.3333333333333333
18621,7814488,"улица Наро-Фоминская, д. 10","Наро-Фоминская улица, дом 10",0.3333333333333333
12829,7564689,"улица Коминтерна, д. 48/5","улица Коминтерна, дом 48/5",0.3333333333333333
5508,7579244,"улица Буракова, д. 15/1","Буракова улица, дом 15/1",0.3333333333333333
5443,7579231,"проспект Буденного, д. 41/17","проспект Будённого, дом 41/17",0.3333333333333333
16111,8033374,"проспект Маршала Жукова, д. 28","проспект Маршала Жукова, дом 28",0.3333333333333333
2501,7956858,"улица Академика Бочвара, д. 9","улица Академика Бочвара, дом 9",0.3333333333333333
7825,8022920,"улица Генерала Рычагова, д. 14","улица Генерала Рычагова, дом 14",0.3333333333333333
